context,p,decision
55,3,"[np.float64(0.06393581734937538), np.float64(0.05641856033729466)]"
56,0,"[np.float64(0.037635095593521635), np.float64(-0.25694827187466984)]"
56,1,"[0.19381374343461824, -0.20522200044596225]"
56,2,"[0.13892678635675704, -0.18447674824476107]"
56,3,"[np.float64(0.05032725724151129), np.float64(-0.23193108238381915)]"
57,0,"[np.float64(-0.09881749808021036), np.float64(0.21039342176180548)]"
57,1,"[0.17940192993151666, 0.20077604076416966]"
57,2,"[0.11669284275804807, 0.20573025972275769]"
57,3,"[np.float64(-0.09881749808021036), np.float64(0.21039342176180548)]"
58,0,"[np.float64(0.08089914055017282), np.float64(0.017273964371950497)]"
58,1,"[0.11016601457931524, 0.11506755589637052]"
58,2,"[0.07981874613026198, 0.01679841308228373]"
58,3,"[np.float64(0.07126390215193931), np.float64(-0.00067283395567393)]"
59,0,"[np.float64(-0.015541560000055084), np.float64(-0.1885702319371827)]"
59,1,"[0.030258307848199002, -0.20097552191959872]"
59,2,"[-0.005096349666679358, -0.21015450144269193]"
59,3,"[np.float64(-0.023252029891711656), np.float64(-0.20733215309864503)]"
60,0,"[np.float64(0.019068366228223804), np.float64(0.19859951639887952)]"
60,1,"[0.10438842786853028, 0.22599091429790913]"
60,2,"[0.04960716193067413, 0.23216157387860095]"
60,3,"[np.float64(0.018483199064929078), np.float64(0.22281454916883278)]"
61,0,"[np.float64(0.21831085801667954), np.float64(0.12165506048386734)]"
61,1,"[0.21441646182938373, 0.008513545020888164]"
61,2,"[0.2272865740699202, 0.09593174199823681]"
61,3,"[np.float64(0.22822030290967188), np.float64(0.12031942759555082)]"
62,0,"[np.float64(0.19946438466867505), np.float64(-0.10092838931412836)]"
62,1,"[0.08048535577907197, -0.16839702347698357]"
62,2,"[0.14050710821561962, -0.09673752606088812]"
62,3,"[np.float64(0.1929189367384591), np.float64(-0.0720124690876483)]"
63,0,"[np.float64(-0.1825284258936431), np.float64(0.19219794611515092)]"
63,1,"[-0.08801884146547481, 0.07221478022737085]"
63,2,"[-0.16028210933911247, 0.19074968608447015]"
63,3,"[np.float64(-0.18887582027645128), np.float64(0.21850345139605545)]"
64,0,"[np.float64(0.09769616594371078), np.float64(0.3093014724472461)]"
64,1,"[0.047912717339373856, 0.14732114204285995]"
64,2,"[0.06166994239432848, 0.25812348958923415]"
64,3,"[np.float64(0.0691580196049611), np.float64(0.2854029049506016)]"
65,0,"[np.float64(-0.1375624022796758), np.float64(-0.27824015879188746)]"
65,1,"[-0.08551233115204854, -0.27436407748735425]"
65,2,"[-0.1361460458728213, -0.2811546144371116]"
65,3,"[np.float64(-0.1466306055865793), np.float64(-0.27949194343890627)]"
66,0,"[np.float64(-0.09385774467508867), np.float64(-0.10708173799655522)]"
66,1,"[0.05034848944404581, -0.04021023267758875]"
66,2,"[-0.02667680664117139, -0.0731973097596362]"
66,3,"[np.float64(-0.09217603431830022), np.float64(-0.10033186340357914)]"
67,0,"[np.float64(0.1125155586465568), np.float64(0.24115812948193044)]"
67,1,"[0.11552633142638055, 0.2950013244041852]"
67,2,"[0.11544238096003245, 0.27440100278327567]"
67,3,"[np.float64(0.11060108507616086), np.float64(0.2201701902234724)]"
68,0,"[np.float64(0.1420825897060351), np.float64(-0.1690928786881851)]"
68,1,"[0.06200432458239408, 0.05638950692079492]"
68,2,"[0.0696964522160969, 0.02230507613670671]"
68,3,"[np.float64(0.15832311911690952), np.float64(-0.19362116509321342)]"
69,0,"[np.float64(-0.17290106704584085), np.float64(-0.012441731907351322)]"
69,1,"[-0.18446802121306954, -0.007375692275160391]"
69,2,"[-0.17358944083268932, -0.012119316526355364]"
69,3,"[np.float64(-0.17093898238949712), np.float64(-0.01335508529312737)]"
70,0,"[np.float64(0.2210030390801424), np.float64(-0.10476142824713269)]"
70,1,"[0.17176306195025084, -0.10593774872124505]"
70,2,"[0.1827910927914871, -0.10412326038809414]"
70,3,"[np.float64(0.20664860486801584), np.float64(-0.10749950703419117)]"
71,0,"[np.float64(-0.2640362754450243), np.float64(0.1898915362869422)]"
71,1,"[-0.05877330941616018, -0.05757699261186776]"
71,2,"[-0.09831510229060547, -0.017392180323966982]"
71,3,"[np.float64(-0.22620640966884997), np.float64(0.13236917730411607)]"
72,0,"[np.float64(0.2869749338288159), np.float64(-0.2036221895841986)]"
72,1,"[0.25863635805550406, -0.048641775225219896]"
72,2,"[0.28466202184522355, -0.11258678040217117]"
72,3,"[np.float64(0.29339337850861824), np.float64(-0.1591766494304031)]"
73,0,"[np.float64(-0.03867488471908423), np.float64(-0.25752660310122405)]"
73,1,"[-0.33045216285706713, -0.18408840691353606]"
73,2,"[-0.19359689841672395, -0.2537946898635195]"
73,3,"[np.float64(-0.039786070778415644), np.float64(-0.28457070443414634)]"
74,0,"[np.float64(-0.14744113309972007), np.float64(-0.041152932421235286)]"
74,1,"[-0.26632861764263177, 0.10562438824844095]"
74,2,"[-0.16594705848637967, 0.017865882093114988]"
74,3,"[np.float64(-0.12830611466403724), np.float64(-0.03373635000772211)]"
0,0,"[np.float64(0.15541940217347006), np.float64(-0.15679006797444572)]"
0,1,"[0.11256078208736106, -0.1674353356765518]"
0,2,"[0.12977193314314495, -0.15526865140080648]"
0,3,"[np.float64(0.16722639207498133), np.float64(-0.15730388033798431)]"
1,0,"[np.float64(-0.09095032479542024), np.float64(0.36510841769618474)]"
1,1,"[-0.04307321222573497, 0.2494930972983304]"
1,2,"[-0.07206765526403035, 0.28859820458919455]"
1,3,"[np.float64(-0.08029213438271543), np.float64(0.3061699792774302)]"
2,0,"[np.float64(0.19714609145561066), np.float64(0.06683834991523088)]"
2,1,"[0.15836003675284077, 0.1175730715211226]"
2,2,"[0.16702445370615732, 0.11884860623203303]"
2,3,"[0.18103115315062945, 0.10905052997169304]"
3,0,"[np.float64(0.4689131590166181), np.float64(0.13250730646526265)]"
3,1,"[0.28186886941351974, 0.07065575827307917]"
3,2,"[0.35932733307327214, 0.08982568108205508]"
3,3,"[np.float64(0.4543472265591329), np.float64(0.11351242928801669)]"
4,0,"[np.float64(-0.06500451281148942), np.float64(-0.006442153123172256)]"
4,1,"[0.16113807460861929, 0.19744507889826468]"
4,2,"[0.07405465079336579, 0.1537378516712314]"
4,3,"[np.float64(-0.05859223861167693), np.float64(0.0825793757770912)]"
5,0,"[np.float64(-0.10800432481487715), np.float64(0.12069012187899933)]"
5,1,"[0.12195929160663099, 0.1456265651635275]"
5,2,"[-0.034967530245761665, 0.12185811695567418]"
5,3,"[np.float64(-0.11655588718688345), np.float64(0.11597898882815863)]"
6,0,"[np.float64(-0.058945587894317614), np.float64(-0.42892484767222444)]"
6,1,"[-0.037564884285596595, -0.4437065030310404]"
6,2,"[-0.05309437866975694, -0.42967575732289426]"
6,3,"[np.float64(-0.06796628751872591), np.float64(-0.4270301956479459)]"
7,0,"[np.float64(0.024488093534205994), np.float64(0.1420575289466071)]"
7,1,"[-0.0019142248166421597, 0.0689298869658887]"
7,2,"[0.021203892314082713, 0.13449297138694624]"
7,3,"[np.float64(0.03637379869210221), np.float64(0.15880915745513283)]"
8,0,"[np.float64(0.14090627138882755), np.float64(-0.3200963104919645)]"
8,1,"[0.18964338772030867, -0.3584628318254369]"
8,2,"[0.1507302855078311, -0.32781068263773816]"
8,3,"[np.float64(0.1403990009445252), np.float64(-0.3182810430589731)]"
9,0,"[np.float64(0.14124649551553847), np.float64(-0.05259843042695851)]"
9,1,"[0.2106924172390598, -0.10571169807904181]"
9,2,"[0.14442107392107517, -0.058781136514770675]"
9,3,"[np.float64(0.12033435270801163), np.float64(-0.03792947180492788)]"
10,0,"[np.float64(-0.16189319834991747), np.float64(-0.3835225528504363)]"
10,1,"[-0.10337483581536425, -0.403615107119928]"
10,2,"[-0.17640423444526, -0.38964577396485833]"
10,3,"[np.float64(-0.18601852726015888), np.float64(-0.3833106634790181)]"
11,0,"[np.float64(-0.09334452864275042), np.float64(-0.038755954843297934)]"
11,1,"[-0.012251632066753393, 0.04968565950966265]"
11,2,"[-0.03230757998620065, -0.038142927156120644]"
11,3,"[np.float64(-0.07550299365470134), np.float64(-0.07875989953044113)]"
12,0,"[np.float64(0.09506483479941302), np.float64(0.12767579139131505)]"
12,1,"[0.16315134025195893, 0.08617438686973183]"
12,2,"[0.10858055478865196, 0.09800681888906432]"
12,3,"[np.float64(0.08174684418976952), np.float64(0.11164422283637129)]"
13,0,"[np.float64(-0.04655653684383014), np.float64(-0.031556868565147986)]"
13,1,"[-0.09715996352212297, 0.04433874073405365]"
13,2,"[-0.04448730770423157, -0.020323666342267933]"
13,3,"[np.float64(-0.031532688071266815), np.float64(-0.039327411021202234)]"
14,0,"[np.float64(0.06974088450644395), np.float64(-0.043991349790877654)]"
14,1,"[0.15876888688815352, -0.058530567131789196]"
14,2,"[0.10809614194574073, -0.04322750202618968]"
14,3,"[np.float64(0.06988166438717372), np.float64(-0.04167774182626207)]"
15,0,"[np.float64(0.19140785209059788), np.float64(-0.2122621433846609)]"
15,1,"[0.19754258597289862, -0.2125057736828438]"
15,2,"[0.19390868640267644, -0.21235049925955024]"
15,3,"[np.float64(0.19104259702863152), np.float64(-0.21226035986719544)]"
16,0,"[np.float64(-0.0071379151736757004), np.float64(0.19827776705522066)]"
16,1,"[0.0793724634462558, 0.22116720000668405]"
16,2,"[0.06623184297094231, 0.20227111364087988]"
16,3,"[np.float64(0.021417766085315544), np.float64(0.19088898958733008)]"
17,0,"[np.float64(0.19110599276875603), np.float64(-0.0832433592800658)]"
17,1,"[0.22086490219171495, -0.11284290357220819]"
17,2,"[0.22173398632953495, -0.11245393241700065]"
17,3,"[np.float64(0.20637345177862826), np.float64(-0.07622611248977702)]"
18,0,"[np.float64(-0.029032734468295747), np.float64(-0.10441246916247772)]"
18,1,"[-0.11701659913845892, 0.08500960031441987]"
18,2,"[-0.036019779027617785, -0.030130038953916652]"
18,3,"[np.float64(-0.01818391054780004), np.float64(-0.0992698221915268)]"
19,0,"[np.float64(0.3004547041075147), np.float64(-0.1469786563664637)]"
19,1,"[0.32826151999982517, -0.03253268875943789]"
19,2,"[0.3037277728351343, -0.11525022623729042]"
19,3,"[np.float64(0.29760175134086264), np.float64(-0.1519806506618871)]"
20,0,"[np.float64(-0.2233767554220566), np.float64(0.021725506491762137)]"
20,1,"[-0.11742082228699674, -0.03516987123218898]"
20,2,"[-0.21546126263392298, 0.01212155002086121]"
20,3,"[np.float64(-0.23673588153757505), np.float64(0.0195708084836997)]"
21,0,"[np.float64(0.18803067281402147), np.float64(-0.25125760148559706)]"
21,1,"[0.1349290138697756, -0.04507669831909253]"
21,2,"[0.1865760624808047, -0.13578314089409987]"
21,3,"[np.float64(0.1985304760404572), np.float64(-0.18753254788917265)]"
22,0,"[np.float64(0.13457272738565124), np.float64(-0.11501618453825008)]"
22,1,"[0.2606940814421217, -0.21049207893018693]"
22,2,"[0.24042365250857597, -0.20952501808855017]"
22,3,"[np.float64(0.12972772790700637), np.float64(-0.12645668389840348)]"
23,0,"[np.float64(0.1020855062669472), np.float64(-0.07108786774575451)]"
23,1,"[0.09245339720483246, -0.08622856231789192]"
23,2,"[0.10374853430326625, -0.07202112927840323]"
23,3,"[np.float64(0.10255930434458371), np.float64(-0.06964991801126097)]"
24,0,"[np.float64(-0.23310074628219424), np.float64(0.16045949187415848)]"
24,1,"[-0.2190850428875182, 0.14776631881565527]"
24,2,"[-0.22721187194609122, 0.16007401332410512]"
24,3,"[np.float64(-0.2450953565420078), np.float64(0.16133719737562544)]"
25,0,"[np.float64(-0.05891024921729504), np.float64(-0.02762853208635402)]"
25,1,"[-0.20954633283616103, -0.057358835212539636]"
25,2,"[-0.1339697945573718, -0.034844625945916224]"
25,3,"[-0.1201093011290884, -0.030550222117306944]"
26,0,"[np.float64(-0.08311279189912522), np.float64(-0.31818028483280947)]"
26,1,"[0.03207462974749405, -0.18615779166196594]"
26,2,"[-0.05402053211701327, -0.245470580935704]"
26,3,"[np.float64(-0.07159694687900783), np.float64(-0.2611398513249779)]"
27,0,"[np.float64(0.15125761226265405), np.float64(0.05023678815371173)]"
27,1,"[0.04237402297098658, 0.04734639590370282]"
27,2,"[0.10605171531985327, 0.05645147514064195]"
27,3,"[0.09979847427912769, 0.05623897998379118]"
28,0,"[np.float64(-0.10320353687576786), np.float64(0.10505592419561899)]"
28,1,"[-0.12888328852298653, 0.023799296463906355]"
28,2,"[-0.10522420226004364, 0.09285990165502056]"
28,3,"[-0.11229918163329045, 0.07260674752869035]"
29,0,"[np.float64(-0.011206516634101136), np.float64(-0.2638395223228778)]"
29,1,"[-0.03304261166065415, -0.25943607234209387]"
29,2,"[-0.01011431771202683, -0.27402411660771614]"
29,3,"[np.float64(-0.007075134438766224), np.float64(-0.27886495325048566)]"
30,0,"[np.float64(-0.04229867079528544), np.float64(0.16079275488242342)]"
30,1,"[-0.04345744487309047, 0.1514934646651096]"
30,2,"[-0.04506275208462825, 0.1589303205748292]"
30,3,"[np.float64(-0.04056098396476405), np.float64(0.16208512974143544)]"
31,0,"[np.float64(0.015200796968456767), np.float64(0.03708507925579863)]"
31,1,"[-0.026981473027275906, -0.06799269939808805]"
31,2,"[0.01681591763300086, 0.036688375006119045]"
31,3,"[np.float64(0.03338778325089172), np.float64(0.07027577554665851)]"
32,0,"[np.float64(0.04035916228514455), np.float64(-0.23032351445557003)]"
