context,p,decision
16,3,"[np.float64(0.06912630916384262), np.float64(0.053555139811247834)]"
17,0,"[np.float64(0.0623632220459396), np.float64(-0.17445098115577573)]"
17,1,"[0.01622952758188772, -0.03182793225769129]"
17,2,"[0.03637170169298885, -0.07815777230965805]"
17,3,"[np.float64(0.0725076762063716), np.float64(-0.15994693092794499)]"
18,0,"[np.float64(-0.08213827744561811), np.float64(-0.17136499195905883)]"
18,1,"[-0.12742423241746675, -0.17658137386855988]"
18,2,"[-0.10213839834857293, -0.17460671772580055]"
18,3,"[np.float64(-0.08213827744561811), np.float64(-0.17136499195905883)]"
19,0,"[np.float64(0.06362742722244143), np.float64(0.1434308221130521)]"
19,1,"[0.12055852338989495, 0.07240280595443195]"
19,2,"[np.float64(0.07683068607957727), np.float64(0.1682998800356646)]"
19,3,"[np.float64(0.07683068607957727), np.float64(0.1682998800356646)]"
20,0,"[np.float64(0.11646848505318941), np.float64(0.015193370138996035)]"
20,1,"[0.05741174084073778, 0.14672633695378873]"
20,2,"[0.07897984480661085, 0.09606218892007863]"
20,3,"[np.float64(0.11447683166701249), np.float64(0.022188860443786595)]"
21,0,"[np.float64(0.03838093071130049), np.float64(-0.006466493192609689)]"
21,1,"[0.07311636350407205, -0.006790011194189927]"
21,2,"[0.03838093071130049, -0.006466493192609689]"
21,3,"[np.float64(0.015198257589419359), np.float64(-0.009884547205806879)]"
22,0,"[np.float64(0.033763867496794525), np.float64(-0.25434823969035564)]"
22,1,"[0.14382602708515976, -0.24350383971434586]"
22,2,"[np.float64(-0.01941740386552096), np.float64(-0.2588926576947008)]"
22,3,"[0.04147027199374537, -0.25363824987616385]"
23,0,"[np.float64(-0.2707608647035849), np.float64(-0.1253950582650577)]"
23,1,"[-0.3334912945030285, -0.11220446923979147]"
23,2,"[-0.32347368499972806, -0.11873156708091413]"
23,3,"[np.float64(-0.26962767584237096), np.float64(-0.13009504652560333)]"
24,0,"[np.float64(0.1798470834653931), np.float64(-0.003350700060277101)]"
24,1,"[0.16267988112700185, 0.03197844179445672]"
24,2,"[0.14792573319637842, -0.001996541066213414]"
24,3,"[np.float64(0.167558926102166), np.float64(-0.00767486599026726)]"
25,0,"[np.float64(-0.0304901437782725), np.float64(-0.17411417460923492)]"
25,1,"[-0.15023620106958283, -0.15769882993897058]"
25,2,"[-0.03139575177529219, -0.16369432860639133]"
25,3,"[np.float64(0.002136991208010572), np.float64(-0.17318620381481187)]"
26,0,"[np.float64(-0.23489136569982735), np.float64(-0.12119576672189007)]"
26,1,"[-0.4167861120828341, -0.08787033964931185]"
26,2,"[-0.2924892487935805, -0.09412287116323143]"
26,3,"[np.float64(-0.20044310321268594), np.float64(-0.113229272626564)]"
27,0,"[np.float64(0.1392041825934425), np.float64(0.09435668493711794)]"
27,1,"[-0.004609553431400557, 0.1817498824928561]"
27,2,"[-0.004533365005803164, 0.18175623666250618]"
27,3,"[0.07990190200207324, 0.1500368359297269]"
28,0,"[np.float64(0.07137130290396057), np.float64(-0.09603820822052321)]"
28,1,"[-0.02519493515989174, -0.03227529732144375]"
28,2,"[0.011636818716559513, -0.08527075102903468]"
28,3,"[np.float64(0.04540252792349567), np.float64(-0.10319077566564518)]"
29,0,"[np.float64(0.1436967602219359), np.float64(0.18639191151053067)]"
29,1,"[0.07828982544779242, 0.15414916873187187]"
29,2,"[0.0796110723168729, 0.17583639580771]"
29,3,"[np.float64(0.1270647512914993), np.float64(0.19491014125941106)]"
30,0,"[np.float64(-0.11984240088118858), np.float64(-0.3719670374299736)]"
30,1,"[-0.19732113829992387, -0.16775022876891915]"
30,2,"[-0.1440960537249688, -0.30064638131030996]"
30,3,"[np.float64(-0.12469508515753147), np.float64(-0.3636903623828788)]"
31,0,"[np.float64(0.2357179318123548), np.float64(0.25796472876436605)]"
31,1,"[0.21337603814243142, 0.1574721079638583]"
31,2,"[0.2209924872039486, 0.18912649985655747]"
31,3,"[np.float64(0.24116481654489136), np.float64(0.2762223216954988)]"
