context,p,decision
16,3,"[0.07733950221732697, 0.3941519006438291]"
17,0,"[np.float64(0.25194956568721005), np.float64(-0.13066270330989455)]"
17,1,"[0.29021638848330056, -0.08110175654254526]"
17,2,"[0.29536008327820484, -0.10419332136654347]"
17,3,"[0.29536008327820484, -0.10419332136654347]"
18,0,"[np.float64(-0.006792716346793709), np.float64(-0.11392178214464466)]"
18,1,"[-0.023869957441215103, 0.0405902105791744]"
18,2,"[-0.05762064691696404, 0.015489212204524323]"
18,3,"[np.float64(-0.005181588285110894), np.float64(-0.09935459752080668)]"
19,0,"[np.float64(0.4700013123004546), np.float64(-0.0021226948616303878)]"
19,1,"[0.3041446619586353, -0.1756719362533688]"
19,2,"[0.3838463202037556, -0.09018817909490229]"
19,3,"[np.float64(0.40360196210219806), np.float64(-0.07040669795890593)]"
20,0,"[np.float64(0.03785904261838621), np.float64(0.28269881830621757)]"
20,1,"[-0.01673250724543819, 0.26007672528113734]"
20,2,"[0.02725140893946332, 0.2645818956231082]"
20,3,"[0.015073338012662474, 0.26045498575804904]"
21,0,"[np.float64(0.11731776189555923), np.float64(0.07093979837444725)]"
21,1,"[0.16006905053627554, 0.13774970825222083]"
21,2,"[0.15619354752690823, 0.13567609710719644]"
21,3,"[np.float64(0.1279153600195016), np.float64(0.08829680406127018)]"
22,0,"[np.float64(0.422306626185462), np.float64(-0.15247034836840634)]"
22,1,"[0.4667628787915401, -0.09177680501564323]"
22,2,"[0.44980184585726535, -0.11832903988246272]"
22,3,"[np.float64(0.4334671879609711), np.float64(-0.1390108768157012)]"
23,0,"[np.float64(0.13773021618090395), np.float64(0.24298568080134647)]"
23,1,"[-0.07511112358054363, 0.25183900142429694]"
23,2,"[0.029180133484324036, 0.2427160479148014]"
23,3,"[np.float64(0.12748767644503534), np.float64(0.23703437889590784)]"
24,0,"[np.float64(0.38641998293027907), np.float64(0.06430716234699847)]"
24,1,"[0.2691708432766907, 0.0699973527374628]"
24,2,"[0.3073034346478661, 0.06584150653505069]"
24,3,"[np.float64(0.34776251361537147), np.float64(0.06588398038992632)]"
25,0,"[np.float64(-0.06550462823733072), np.float64(-0.30765667810452296)]"
25,1,"[-0.06347038684133116, -0.08532151908090886]"
25,2,"[np.float64(-0.09603773141250459), np.float64(-0.29417463682789335)]"
25,3,"[np.float64(-0.12241165892405924), np.float64(-0.21300659611775846)]"
26,0,"[np.float64(0.07553671929352487), np.float64(0.2221644817968632)]"
26,1,"[0.0013537938396443253, 0.03678089420980859]"
26,2,"[0.09633705784046623, 0.07593100122405945]"
26,3,"[np.float64(0.09318750474907544), np.float64(0.17309776550858133)]"
