context,p_value,agent,satisfaction
28,3,41.0,0.37633652811041973
28,3,66.0,0.5193007890210778
28,3,74.0,0.3532732254276778
28,3,61.0,0.3036791603021356
28,3,77.0,0.21085858354471215
28,3,23.0,0.09136045461819203
28,3,64.0,0.10398393839061738
28,3,3.0,0.21546207501129377
29,0,20.0,0.3809246561998332
29,0,71.0,0.5095083901600115
29,0,78.0,0.19300363919327362
29,0,53.0,0.31458491217196555
29,0,88.0,0.18938609792985986
29,0,8.0,0.0962861870800058
29,0,48.0,0.31243954767520343
29,0,47.0,0.4180682287429819
29,0,17.0,0.355101965265033
29,0,93.0,0.1654844900561069
29,1,20.0,0.18982222852545366
29,1,71.0,0.318405962485632
29,1,78.0,0.0019012115188941359
29,1,53.0,0.12348248449758606
29,1,88.0,0.38048852560423935
29,1,8.0,0.09481624059437369
29,1,48.0,0.12133712000082392
29,1,47.0,0.22696580106860242
29,1,17.0,0.16399953759065355
29,1,93.0,0.3565869177304864
29,2,20.0,0.28902993677271616
29,2,71.0,0.4176136707328945
29,2,78.0,0.10110891976615663
29,2,53.0,0.22269019274484858
29,2,88.0,0.28128081735697685
29,2,8.0,0.004391467652888809
29,2,48.0,0.2205448282480864
29,2,47.0,0.3261735093158649
29,2,17.0,0.26320724583791605
29,2,93.0,0.2573792094832239
29,3,20.0,0.30547873693757754
29,3,71.0,0.43406247089775585
29,3,78.0,0.11755771993101799
29,3,53.0,0.2391389929097099
29,3,88.0,0.26483201719211547
29,3,8.0,0.02084026781775017
29,3,48.0,0.2369936284129478
29,3,47.0,0.34262230948072625
29,3,17.0,0.2796560460027774
29,3,93.0,0.24093040931836254
30,0,72.0,0.2342225036536469
30,0,58.0,0.0968071950610829
30,0,86.0,0.3838751693389141
30,0,75.0,0.3402773187732578
30,0,43.0,0.06795057122380424
30,0,73.0,0.1600695258125997
30,0,30.0,0.19181579947391164
30,0,57.0,0.19138074268948604
30,0,76.0,0.48443222432022837
30,0,63.0,0.11590504802426302
30,1,72.0,0.15971264829808318
30,1,58.0,0.02229733970551917
30,1,86.0,0.4583850246944778
30,1,75.0,0.4147871741288215
30,1,43.0,0.006559284131759491
30,1,73.0,0.23457938116816343
30,1,30.0,0.26632565482947534
30,1,57.0,0.2658905980450498
30,1,76.0,0.5589420796757921
30,1,63.0,0.19041490337982675
30,2,72.0,0.17911997426932028
30,2,58.0,0.041704665676756264
30,2,86.0,0.43897769872324066
30,2,75.0,0.3953798481575844
30,2,43.0,0.012848041839477603
30,2,73.0,0.21517205519692634
30,2,30.0,0.24691832885823828
30,2,57.0,0.24648327207381268
30,2,76.0,0.5395347537045551
30,2,63.0,0.17100757740858966
30,3,72.0,0.2217941280662403
30,3,58.0,0.08437881947367629
30,3,86.0,0.3963035449263207
30,3,75.0,0.3527056943606644
30,3,43.0,0.055522195636397625
30,3,73.0,0.17249790140000631
30,3,30.0,0.20424417506131826
30,3,57.0,0.20380911827689266
30,3,76.0,0.496860599907635
30,3,63.0,0.12833342361166963
31,0,44.0,0.03413111222757367
31,0,95.0,0.13871560878785769
31,0,50.0,0.04087060566584949
31,0,99.0,0.36819786700330237
31,0,37.0,0.2043430545625605
31,0,42.0,0.08435822099662929
31,0,59.0,0.6838948453170107
31,0,51.0,0.0660714863496224
31,0,45.0,0.0006438366301005916
31,0,28.0,0.23850416378847714
31,1,44.0,0.08994732139216402
31,1,95.0,0.19453181795244803
31,1,50.0,0.014945603498740856
31,1,99.0,0.312381657838712
31,1,37.0,0.2601592637271508
31,1,42.0,0.14017443016121964
31,1,59.0,0.6280786361524204
31,1,51.0,0.010255277185032052
31,1,45.0,0.055172372534489755
31,1,28.0,0.29432037295306746
31,2,44.0,0.07278207552129284
31,2,95.0,0.17736657208157686
31,2,50.0,0.0022196423721303205
31,2,99.0,0.32954690370958317
31,2,37.0,0.24299401785627966
31,2,42.0,0.12300918429034846
31,2,59.0,0.6452438820232915
31,2,51.0,0.02742052305590323
31,2,45.0,0.03800712666361858
31,2,28.0,0.2771551270821963
31,3,44.0,0.0509524087418701
31,3,95.0,0.1555369053021541
31,3,50.0,0.024049309151553067
31,3,99.0,0.35137657048900595
31,3,37.0,0.22116435107685692
31,3,42.0,0.10117951751092571
31,3,59.0,0.6670735488027143
31,3,51.0,0.049250189835325975
31,3,45.0,0.016177459884195833
31,3,28.0,0.2553254603027736
32,0,40.0,0.1329499560414373
32,0,36.0,0.024777406042426675
32,0,21.0,0.13810780459447725
32,0,85.0,0.029173906326347865
32,0,39.0,0.39027516733587886
32,0,97.0,0.22606638729990067
32,0,34.0,0.20951523729917373
32,0,12.0,0.8082157514082486
32,0,31.0,0.14343144565847848
32,0,90.0,0.045432456458016524
32,1,40.0,0.17161276922827526
32,1,36.0,0.013885407144411277
32,1,21.0,0.0994449914076393
32,1,85.0,0.06783671951318582
32,1,39.0,0.4289379805227168
32,1,97.0,0.26472920048673865
32,1,34.0,0.2481780504860117
32,1,12.0,0.8468785645950866
32,1,31.0,0.10476863247164053
32,1,90.0,0.08409526964485448
32,2,40.0,0.14888758352553447
32,2,36.0,0.008839778558329514
32,2,21.0,0.12217017711038008
32,2,85.0,0.045111533810445026
32,2,39.0,0.406212794819976
32,2,97.0,0.24200401478399783
32,2,34.0,0.2254528647832709
32,2,12.0,0.8241533788923459
32,2,31.0,0.12749381817438132
32,2,90.0,0.061370083942113685
32,3,40.0,0.139444364070108
32,3,36.0,0.01828299801375599
32,3,21.0,0.13161339656580656
32,3,85.0,0.03566831435501855
32,3,39.0,0.39676957536454954
32,3,97.0,0.23256079532857135
32,3,34.0,0.21600964532784442
32,3,12.0,0.8147101594369193
32,3,31.0,0.1369370376298078
32,3,90.0,0.05192686448668721
33,0,87.0,0.3909125623310352
33,0,0.0,0.23343359880314868
33,0,55.0,0.21255602121496142
33,0,29.0,0.7491332624877575
33,0,6.0,0.4014201856389997
33,0,80.0,0.12319854593833353
33,0,84.0,0.048338550391892346
33,0,10.0,0.21932803916871896
33,0,11.0,0.11881179797984721
33,0,68.0,0.022427935142614763
33,1,87.0,0.2642046916957489
33,1,0.0,0.10672572816786238
33,1,55.0,0.33926389185024775
33,1,29.0,0.8758411331230438
33,1,6.0,0.528128056274286
33,1,80.0,0.0035093246969527814
33,1,84.0,0.07836932024339396
33,1,10.0,0.09262016853343266
33,1,11.0,0.24551966861513352
33,1,68.0,0.10427993549267155
33,2,87.0,0.32618684312907414
33,2,0.0,0.1687078796011876
33,2,55.0,0.2772817404169225
33,2,29.0,0.8138589816897186
33,2,6.0,0.4661459048409608
33,2,80.0,0.05847282673637243
33,2,84.0,0.016387168810068756
33,2,10.0,0.15460231996675788
33,2,11.0,0.18353751718180833
33,2,68.0,0.04229778405934634
33,3,87.0,0.3501963739414172
33,3,0.0,0.1927174104135307
33,3,55.0,0.2532722096045794
33,3,29.0,0.7898494508773755
33,3,6.0,0.4421363740286177
33,3,80.0,0.08248235754871551
33,3,84.0,0.007622362002274327
33,3,10.0,0.17861185077910097
33,3,11.0,0.15952798636946525
33,3,68.0,0.018288253247003255
34,0,82.0,0.22062001932561448
34,0,91.0,0.3467740538700874
34,0,24.0,0.3754820752887602
34,0,52.0,0.04565824406451732
34,0,49.0,0.5971796053345177
34,0,60.0,0.744701691268288
34,0,69.0,0.4648701074969187
34,0,98.0,0.08410228047985219
34,0,94.0,0.11023964395282335
34,0,1.0,0.28934064418034267
34,1,82.0,0.19580069389123908
34,1,91.0,0.32195472843571205
34,1,24.0,0.3506627498543848
34,1,52.0,0.020838918630141923
34,1,49.0,0.5723602799001424
34,1,60.0,0.7198823658339126
