context,p,decision
31,3,"[-0.08815530144583353, 0.09540243522562009]"
32,0,"[np.float64(-0.12861916774647084), np.float64(-0.10236654969238453)]"
32,1,"[-0.23594173965078366, 0.010203889685228222]"
32,2,"[-0.14923308743736338, 0.06278739034298023]"
32,3,"[-0.14923308743736338, 0.06278739034298023]"
33,0,"[np.float64(-0.01377577273407602), np.float64(0.08221598724935086)]"
33,1,"[0.19377349442304342, 0.01848997916361332]"
33,2,"[0.1165843613874005, 0.09691764932416883]"
33,3,"[np.float64(0.007526337733964394), np.float64(0.08427837428895238)]"
34,0,"[np.float64(-0.030724244480453508), np.float64(0.25408814179458916)]"
34,1,"[-0.12937835682626475, 0.2317505095660883]"
34,2,"[-0.11093426297195516, 0.24148554437559966]"
34,3,"[np.float64(-0.07034366220229643), np.float64(0.2629253798317386)]"
35,0,"[np.float64(0.03712667840464047), np.float64(-0.03156703361109222)]"
35,1,"[0.0196931626829971, -0.021747367306006037]"
35,2,"[0.0451451405036873, 0.03269240796066598]"
35,3,"[np.float64(0.04296231599373106), np.float64(0.027855267535756435)]"
36,0,"[np.float64(0.01465239326400096), np.float64(-0.0631048987853571)]"
36,1,"[0.03177959424559162, -0.019202876970976446]"
36,2,"[0.055654619615319034, -0.016218472535970287]"
36,3,"[np.float64(0.017374083858431838), np.float64(-0.04834864165370333)]"
37,0,"[np.float64(0.05209994634281413), np.float64(0.06996799728019881)]"
37,1,"[0.043801520975207724, 0.08766795717379544]"
37,2,"[0.08917860780318863, 0.03320342603914842]"
37,3,"[0.07576513731711715, 0.05474980569907859]"
38,0,"[np.float64(-0.10765949372026867), np.float64(-0.005389868487792285)]"
38,1,"[-0.0005510463277678124, -0.027767186939660835]"
38,2,"[-0.0005510463277678124, -0.027767186939660835]"
38,3,"[-0.0857538561148808, -0.043864074668009345]"
0,0,"[np.float64(-0.2322958979535751), np.float64(0.054093033462285986)]"
0,1,"[-0.12834879629275797, 0.07873656827378049]"
0,2,"[-0.18108634645603466, 0.0779016153974657]"
0,3,"[np.float64(-0.2162892134264651), np.float64(0.06398885398898548)]"
1,0,"[np.float64(-0.11925397802709943), np.float64(-0.26491732306216)]"
1,1,"[-0.021911609611628732, -0.11446961182049954]"
1,2,"[-0.08027574370558205, -0.19370413348899115]"
1,3,"[np.float64(-0.09866727739643294), np.float64(-0.24130546472914197)]"
2,0,"[np.float64(0.17097350521922533), np.float64(0.0725217634157957)]"
2,1,"[0.23143024938470852, -0.11864701116475015]"
2,2,"[0.2060446661069086, -0.03837417429123123]"
2,3,"[np.float64(0.1888724325594391), np.float64(0.017562984869476515)]"
3,0,"[np.float64(-0.04294931554932274), np.float64(-0.023906245325894)]"
3,1,"[0.08780720443470141, -0.0813248933937532]"
3,2,"[0.040093092843865474, -0.05391317980597038]"
3,3,"[np.float64(-0.03776439588790108), np.float64(-0.03348704172143027)]"
4,0,"[np.float64(-0.084157179249855), np.float64(0.10307106133650472)]"
4,1,"[-0.061138588698327063, 0.1642118332861189]"
4,2,"[-0.07293537701852326, 0.12902604421658784]"
4,3,"[np.float64(-0.07529717824244854), np.float64(0.1156275631460914)]"
5,0,"[np.float64(-0.07316259011170462), np.float64(-0.21863403329122968)]"
5,1,"[-0.12764887603328515, 0.01018231825022569]"
5,2,"[-0.10356459164919182, -0.09825065921952973]"
5,3,"[np.float64(-0.08829697793419478), np.float64(-0.17456691307503291)]"
6,0,"[np.float64(0.0043733137551022275), np.float64(0.03282605849707547)]"
6,1,"[0.037719344535025554, -0.10657961030039215]"
6,2,"[0.01700779959203262, -0.01857439975334088]"
6,3,"[np.float64(0.009421041750547629), np.float64(0.01657185144428062)]"
7,0,"[np.float64(-0.2507174567937144), np.float64(-0.03617327199688708)]"
7,1,"[-0.24332177238826563, -0.005257385246480943]"
7,2,"[-0.2505558521849314, -0.02316539717952392]"
7,3,"[np.float64(-0.2505553145822664), np.float64(-0.027086180971790094)]"
8,0,"[np.float64(-0.20290201439273206), np.float64(-0.11396837506458043)]"
8,1,"[-0.2696782028402143, -0.2538843179509144]"
8,2,"[-0.26354177524108613, -0.24648816865547835]"
8,3,"[np.float64(-0.22381457111256897), np.float64(-0.15832624817625426)]"
9,0,"[np.float64(0.42675120270422884), np.float64(0.1536421266198664)]"
9,1,"[0.23571520591517903, 0.10112637012707021]"
9,2,"[0.2788850360079327, 0.12242383300965119]"
9,3,"[np.float64(0.38333857935933596), np.float64(0.14514336916513482)]"
10,0,"[np.float64(-0.09355099473204592), np.float64(-0.12790504779778622)]"
10,1,"[0.08564563870985442, -0.08276400140686932]"
10,2,"[-0.020109214586270588, -0.10346394549036181]"
10,3,"[np.float64(-0.061830672925602834), np.float64(-0.11974696337257051)]"
11,0,"[np.float64(-0.11012541748896235), np.float64(0.17798337381544813)]"
11,1,"[-0.15651435198806485, 0.1905928053104013]"
11,2,"[-0.1368831980978073, 0.19732501378431147]"
11,3,"[np.float64(-0.11779498226751647), np.float64(0.184056288171549)]"
12,0,"[np.float64(-0.17735102098080982), np.float64(-0.006632760159163878)]"
12,1,"[0.05015843768434318, -0.07057178129533626]"
12,2,"[-0.050452660293995366, -0.052432854399013226]"
12,3,"[np.float64(-0.13480809505073688), np.float64(-0.024471795044302372)]"
13,0,"[np.float64(0.054761036637931595), np.float64(-0.06094663145364959)]"
13,1,"[0.18730826826827962, -0.03956402650503756]"
13,2,"[0.11407362958773179, -0.045804182433307555]"
