context,p_value,agent,satisfaction
25,2,77.0,0.48950187177612386
25,2,32.0,0.5427506010934013
25,2,36.0,0.43224197534754294
25,2,21.0,0.26610402673476286
25,2,43.0,0.747815782251862
25,2,80.0,0.012278221347826704
25,2,60.0,0.11881481561906924
25,2,70.0,0.21787136842998744
25,3,97.0,0.06502791715641867
25,3,63.0,0.12568194465587892
25,3,77.0,0.5019643120579108
25,3,32.0,0.5552130413751882
25,3,36.0,0.44470441562932994
25,3,21.0,0.27856646701654986
25,3,43.0,0.760278222533649
25,3,80.0,0.00018421893396025624
25,3,60.0,0.10635237533728228
25,3,70.0,0.2303338087117744
26,0,72.0,0.5410800457242747
26,0,31.0,0.4332642606997305
26,0,45.0,0.05238475759667238
26,0,3.0,0.3694926443132654
26,0,51.0,0.09642677393225785
26,0,90.0,0.0835068841137136
26,0,8.0,0.05143179125838321
26,0,35.0,0.23747825528140995
26,0,13.0,0.1681931551339548
26,0,68.0,0.2726211070248509
26,1,72.0,0.38189195889815053
26,1,31.0,0.2740761738736063
26,1,45.0,0.21157284442279659
26,1,3.0,0.2103045574871412
26,1,51.0,0.06276131289386636
26,1,90.0,0.2426949709398378
26,1,8.0,0.2106198780845074
26,1,35.0,0.07829016845528575
26,1,13.0,0.0090050683078306
26,1,68.0,0.11343302019872664
26,2,72.0,0.48439862521425103
26,2,31.0,0.37658284018970684
26,2,45.0,0.10906617810669607
26,2,3.0,0.3128112238032417
26,2,51.0,0.03974535342223417
26,2,90.0,0.14018830462373727
26,2,8.0,0.1081132117684069
26,2,35.0,0.18079683477138625
26,2,13.0,0.11151173462393112
26,2,68.0,0.21593968651482714
26,3,72.0,0.44706711459301957
26,3,31.0,0.33925132956847537
26,3,45.0,0.14639768872792752
26,3,3.0,0.27547971318201026
26,3,51.0,0.002413842801002699
26,3,90.0,0.17751981524496874
26,3,8.0,0.14544472238963835
26,3,35.0,0.14346532415015478
26,3,13.0,0.07418022400269965
26,3,68.0,0.17860817589359568
27,0,84.0,0.23016028815128986
27,0,69.0,0.2908293083295641
27,0,14.0,0.0030877947188930263
27,0,91.0,0.08588091955171553
27,0,57.0,0.033055739763091084
27,0,56.0,0.22977184292255481
27,0,74.0,0.3755376497210047
27,0,92.0,0.021074902746410107
27,0,82.0,0.4176347073347705
27,0,30.0,0.07091104105292181
27,1,84.0,0.20956875266703556
27,1,69.0,0.2702377728453098
27,1,14.0,0.02367933020314733
27,1,91.0,0.10647245503596985
27,1,57.0,0.05364727524734539
27,1,56.0,0.20918030743830052
27,1,74.0,0.3549461142367504
27,1,92.0,0.04166643823066441
27,1,82.0,0.4382262428190248
27,1,30.0,0.0503195055686675
27,2,84.0,0.22676397626785652
27,2,69.0,0.2874329964461308
27,2,14.0,0.006484106602326359
27,2,91.0,0.08927723143514887
27,2,57.0,0.03645205164652442
27,2,56.0,0.22637553103912147
27,2,74.0,0.37214133783757136
27,2,92.0,0.02447121462984344
27,2,82.0,0.4210310192182038
27,2,30.0,0.06751472916948847
27,3,84.0,0.21046150920918788
27,3,69.0,0.2711305293874622
27,3,14.0,0.022786573660994992
27,3,91.0,0.10557969849381751
27,3,57.0,0.05275451870519305
27,3,56.0,0.21007306398045283
27,3,74.0,0.35583887077890275
27,3,92.0,0.04077368168851207
27,3,82.0,0.4373334862768724
27,3,30.0,0.05121226211081984
28,0,50.0,0.18502540085672686
28,0,10.0,0.36651768998663037
28,0,23.0,0.272254460920985
28,0,33.0,0.21332325700886456
28,0,27.0,0.22420033400977663
28,0,17.0,0.19821703021827472
28,0,81.0,0.5475707217440523
28,0,46.0,0.12412574060181938
28,0,55.0,0.18946873809300646
28,0,22.0,0.06765928165575145
28,1,50.0,0.3548902578854496
28,1,10.0,0.1966528329579077
28,1,23.0,0.10238960389226232
28,1,33.0,0.043458399980141865
28,1,27.0,0.39406519103849935
