context,p,decision
4,3,"[np.float64(0.12312492106729335), np.float64(-0.09428546261854656)]"
5,0,"[np.float64(0.03291909357979539), np.float64(0.12355854517577733)]"
5,1,"[0.02590272617733993, 0.2630587258299219]"
5,2,"[0.019393413324271313, 0.21283538858665263]"
5,3,"[np.float64(0.03027806462031543), np.float64(0.1552035427557438)]"
6,0,"[np.float64(-0.12843712028506243), np.float64(0.24465902641636947)]"
6,1,"[-0.24009699180445532, 0.2693133074673559]"
6,2,"[-0.1788739723771147, 0.24899726797943114]"
6,3,"[np.float64(-0.1580156916818659), np.float64(0.24730410941463438)]"
7,0,"[np.float64(-0.4433485963586873), np.float64(0.2490524654547576)]"
7,1,"[-0.30098747962575667, 0.11187582394958152]"
7,2,"[-0.3384774294341911, 0.16211767163336788]"
7,3,"[np.float64(-0.4031733150007913), np.float64(0.2145158679369928)]"
8,0,"[np.float64(-0.045574504995405635), np.float64(0.01989128768023249)]"
8,1,"[-0.08976357662812826, -0.06640608612478884]"
8,2,"[-0.06107745126597176, -0.040201392103169364]"
8,3,"[np.float64(-0.04889630084338409), np.float64(0.011910920031190986)]"
9,0,"[np.float64(-0.08003916551888396), np.float64(-0.06129047242152131)]"
9,1,"[-0.04232600505113192, -0.032418832858955374]"
9,2,"[-0.06394508313676017, -0.041685957227996444]"
9,3,"[np.float64(-0.06921081360054314), np.float64(-0.051099379988049136)]"
10,0,"[np.float64(-0.07078268385930961), np.float64(0.1525532267585279)]"
10,1,"[0.04212688498728839, 0.12560056076387788]"
10,2,"[0.022699092558184503, 0.13668807905225916]"
10,3,"[np.float64(-0.031606510525306025), np.float64(0.14079196207963765)]"
11,0,"[np.float64(0.10444884314312278), np.float64(0.1693961372043385)]"
11,1,"[0.18824468185413865, 0.035926411930291946]"
11,2,"[0.15656059981724857, 0.05283418303774759]"
11,3,"[np.float64(0.11654477489329063), np.float64(0.1387932313923495)]"
12,0,"[np.float64(0.11052491324891262), np.float64(0.07545239667476313)]"
12,1,"[0.030759184311636108, 0.005118112979642587]"
12,2,"[0.047757014722212304, 0.02367082087302066]"
